date,rank,last-week,peak-rank,weeks-on-board,track_id,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,track_name,artists
2009-11-21,89,90.0,83,11,3Pzh926pXggbMe2ZpXyMV7,Cage The Elephant (Expanded Edition),74,175493,False,0.636,0.849,0,-7.075,1,0.106,0.0438,0.0,0.372,0.917,156.036,4,blues,Ain't No Rest for the Wicked,Cage The Elephant
2009-11-21,89,90.0,83,11,3Pzh926pXggbMe2ZpXyMV7,Cage The Elephant (Expanded Edition),74,175493,False,0.636,0.849,0,-7.075,1,0.106,0.0438,0.0,0.372,0.917,156.036,4,blues,Ain't No Rest for the Wicked,Cage The Elephant
2009-11-21,89,90.0,83,11,3Pzh926pXggbMe2ZpXyMV7,Cage The Elephant (Expanded Edition),74,175493,False,0.636,0.849,0,-7.075,1,0.106,0.0438,0.0,0.372,0.917,156.036,4,blues,Ain't No Rest for the Wicked,Cage The Elephant
1971-10-30,22,18.0,3,16,1k1Bqnv2R0uJXQN4u6LKYt,Just As I Am,79,125093,False,0.527,0.415,4,-11.451,0,0.122,0.457,1.72e-05,0.117,0.515,78.169,4,funk,Ain't No Sunshine,Bill Withers
1971-10-30,22,18.0,3,16,1k1Bqnv2R0uJXQN4u6LKYt,Just As I Am,79,125093,False,0.527,0.415,4,-11.451,0,0.122,0.457,1.72e-05,0.117,0.515,78.169,4,funk,Ain't No Sunshine,Bill Withers
1984-02-04,99,75.0,22,19,1GmcAwGupJea9KVsSXRGEo,80's,0,245133,False,0.824,0.766,10,-12.393,0,0.0457,0.223,6.34e-05,0.116,0.724,104.8,4,disco,Ain't Nobody,Chaka Khan
1984-02-04,99,75.0,22,19,1GmcAwGupJea9KVsSXRGEo,80's,0,245133,False,0.824,0.766,10,-12.393,0,0.0457,0.223,6.34e-05,0.116,0.724,104.8,4,disco,Ain't Nobody,Chaka Khan
1984-02-04,99,75.0,22,19,1GmcAwGupJea9KVsSXRGEo,80's,0,245133,False,0.824,0.766,10,-12.393,0,0.0457,0.223,6.34e-05,0.116,0.724,104.8,4,disco,Ain't Nobody,Chaka Khan
2016-05-28,76,,76,2,2hgzdQdnfWwtdpZbhZlV72,Ain't Your Mama,71,218234,False,0.757,0.678,8,-5.529,0,0.233,0.0472,9.14e-06,0.0654,0.82,120.075,4,dance,Ain't Your Mama,Jennifer Lopez
1959-08-10,97,100.0,97,2,4GrFU6vSw8ildV5dQIgnI7,Let's Take a Sea Cruise (Deluxe Version),25,142706,False,0.849,0.374,0,-12.059,1,0.0707,0.778,0.0,0.235,0.973,130.618,3,rockabilly,Alimony,Frankie Ford
2013-07-13,89,82.0,32,20,59mrqUmhpmcfUns8BKkV30,Get Wet,53,288880,False,0.671,0.828,9,-2.907,1,0.053,0.00304,0.00287,0.352,0.57,127.976,4,dub,Alive,Krewella
